,AdaBoost,"uGB+FL, alpha=0.01","uGB+FL, alpha=0.02","uGB+FL, alpha=0.05","uGB+FL, alpha=0.1","uGB+FL, alpha=0.2"
2,0.03913801763184284,0.07960446376988567,0.14600247116080978,0.0642170462180447,0.069966933258055,0.12794347249077845
5,0.039204908107380816,0.09282392598473575,0.06381954226170836,0.11290409195861212,0.10226727956285113,0.0809461876031158
8,0.03978374906096245,0.043252205295391234,0.05073864240046292,0.06419122664829552,0.07020189085184299,0.07099552491953559
11,0.07763604917019229,0.04455534308916895,0.04927410423921182,0.06030633234647876,0.0686030543321462,0.06905367441869843
14,0.07778428622958432,0.045211154345366135,0.049098262409519006,0.061000211803336694,0.06927023740408975,0.0701558258304707
17,0.07764619111917229,0.0453248466590623,0.048021529808576234,0.060216191336139736,0.06882533491240593,0.07066340927894264
20,0.07775402637493681,0.04562516779566716,0.04900461621839598,0.06064342810325939,0.06778578571305606,0.07035197040504249
23,0.07773044519536886,0.04709612948964081,0.04925234647670661,0.05993660691158271,0.06769968515618635,0.07024227472129234
26,0.07751710851779978,0.047420193911413916,0.04941555441939908,0.06017924300274638,0.06792433420629418,0.07054390219316524
29,0.077353977455471,0.0593045181719095,0.049201639874437965,0.06028199197637823,0.06802472021905624,0.0713824931553136
32,0.0776172987153196,0.056156224536092716,0.04903681210611413,0.05994465922408775,0.06743575524312702,0.07052418197440452
35,0.07791415930575873,0.051489085472614785,0.04892265087558082,0.05955625389261526,0.0674538078365532,0.07076115494963664
38,0.07825768193530437,0.045697118694310646,0.04925170052254086,0.060082393268792486,0.06780754342063533,0.07097861754842973
41,0.07850287158822894,0.048733915775803514,0.04941969443984862,0.06000365948890381,0.06792439970174612,0.07043056990466948
44,0.07816794115524267,0.05115162549698887,0.04900366340366975,0.059950743651440555,0.06741260755480742,0.07012522089323842
47,0.0776883186672163,0.053299787542980905,0.04917154325990396,0.05958768744938858,0.06788039860605069,0.07030332412357197
50,0.08099620965584545,0.04819131736250682,0.049606040907351386,0.059547159057491944,0.06714425058832521,0.07017993314931296
53,0.08104656001261457,0.04840135267174384,0.049321693906895246,0.05966853954915247,0.06730251654188905,0.06992536508379013
56,0.08074049083144842,0.04712627569093702,0.04922127632691955,0.05990545850837103,0.06746568397931743,0.07016968711448499
59,0.08119755995713718,0.04682551010713967,0.04984785166990991,0.060492916359408566,0.06750056230946683,0.07018197532135494
