,ada,knnAda,uGB+nn,uGB+binFL,uGB+knnFL,uBoost
9,0.07642348042311775,0.03905243498547496,0.08404519677290387,0.05131513771359899,0.053731907551915425,0.03827420030681219
19,0.07766595674527042,0.038790046389804836,0.08440724706643173,0.052142978600747486,0.05434429396537316,0.0716318453007867
29,0.077353977455471,0.05635166074679865,0.09098787344302808,0.0528648897127909,0.054324548589445514,0.07303320164104295
39,0.07828574456904167,0.06799545675863043,0.09138997310933569,0.05324636529701007,0.05434518712042345,0.07015084386740597
49,0.07797749475366382,0.0662440957550561,0.09031505477321594,0.05334539948648395,0.05482452753082833,0.07237010280575837
59,0.08119755995713718,0.07139467171009427,0.09042543440445937,0.053667622780298865,0.05489315374602296,0.0721914040417569
69,0.0816037598640028,0.07162227514042606,0.09111627768986977,0.05392392029159206,0.05524720796418072,0.073847710839518
79,0.08181116548779595,0.07331374115598212,0.08989812256184883,0.05385191340515602,0.05528068391609286,0.07412181378587537
89,0.08173022647102557,0.07273149044843635,0.08934743596792738,0.05383563403866021,0.05526046625030102,0.07496607604765061
99,0.08135254578526857,0.072532562605111,0.08992570254298084,0.05417057304393502,0.0551666774934703,0.07642267271596942
109,0.08087452940670785,0.07248696477538316,0.08959781754796046,0.05490467908959262,0.05475892420450494,0.07465248138985935
119,0.07903247385044954,0.07255322411503709,0.08985906133877011,0.05470947429998655,0.05473402592279859,0.07477994637104902
129,0.07947176110920119,0.07257821459075953,0.0899694695536209,0.055502678804224014,0.05572397029268459,0.07378981674410065
139,0.0792397251546162,0.0722056671445287,0.09017564752763986,0.055437204679310216,0.05625853235177949,0.0733894614936995
149,0.0792485089044659,0.07182340935925625,0.09062440037017298,0.0555299306754453,0.05598587706123507,0.07364544824427341
159,0.07898188803848469,0.07161567048780305,0.09053071502249922,0.05545300339727395,0.05687435244999089,0.07304911335916978
169,0.0791820869025409,0.07140161658174972,0.0904349920809444,0.055551402069147986,0.0562799738045851,0.07411126267392312
179,0.07874107933634429,0.07148955696823754,0.09003744467347612,0.05574441039171797,0.05689882135552233,0.07375650767244664
189,0.07855634828006666,0.0713364541761825,0.08957092278439859,0.055978572509695214,0.0569993613937186,0.07327635271300914
199,0.07892740970109648,0.07132256775635076,0.08937973255112902,0.05623336273540117,0.057148903298514214,0.07427976240402706
